,V1_in,V2_in,V3_in,t,V1,V2,V3,I1,I2,I3,ax,ay,az,gx,gy,gz,color
0,100,100,100,8000,49.40425532,39.92553191,48.6,0.348619068,0.410502766,0.361439592,0.058344828,-0.269862069,10.53917241,0.003448276,-0.011241379,0.077241379,blue
1,100,200,100,8000,65.20212766,130.9787234,64.91489362,0.13821461,0.738535535,0.185243156,-0.03262069,-0.279241379,10.55682759,-0.00137931,-0.011724138,0.146,blue
2,100,300,100,8000,68.14285714,229.212766,67.19318182,0.101884795,0.869161536,0.11165198,-0.008888889,-0.241666667,10.56055556,-0.001111111,-0.016041667,0.195,blue
3,200,100,100,8000,136.1489362,62.90425532,66.92553191,0.739502233,0.238915367,0.127530262,0.051944444,-0.253819444,10.55819444,0.002363636,-0.011319444,0.129722222,blue
4,200,200,100,8000,151.0851064,148.212766,72.31034483,0.554610548,0.573718077,0.078542464,0.021862069,-0.294,10.56131034,-0.002,-0.014137931,0.207586207,blue
5,200,300,100,8000,162.8617021,247.0212766,81,0.334689146,0.746178727,0.081049172,0.015925926,-0.317185185,10.59148148,-0.004592593,-0.016222222,0.274666667,blue
6,300,100,100,8000,239.2659574,69.22340426,77.84042553,0.903353077,0.114408348,0.077763718,0.021111111,-0.291597222,10.59111111,-0.001319444,-0.012291667,0.176597222,blue
7,300,200,100,8000,247.8829787,158.8404255,78.41489362,0.763067221,0.400764139,0.075130917,-0.024027778,-0.29125,10.57875,-0.002152778,-0.014027778,0.257777778,blue
8,300,300,100,8000,257.6489362,253.6276596,83.29787234,0.549926184,0.585675654,0.079842545,0.049793103,-0.307103448,10.56455172,-0.004965517,-0.018,0.340068966,blue
9,100,100,200,8000,66.35106383,65.77659574,132.1276596,0.164447584,0.152490005,0.784516885,0.092937063,-0.284055944,10.55839161,0.002608696,-0.012307692,0.133286713,blue
10,100,200,200,8000,77.26595745,144.7659574,145.3404255,0.089126502,0.560566,0.533490436,0.108551724,-0.242275862,10.56089655,-0.001517241,-0.01337931,0.198068966,blue
11,100,300,200,8000,77.84042553,234.9574468,160.5638298,0.08854358,0.880794068,0.28661221,0.14625,-0.184722222,10.56520833,-0.001180556,-0.013125,0.258958333,blue
12,200,100,200,8000,151.9468085,67.78723404,148.787234,0.525147966,0.191991744,0.508505909,0.071805556,-0.186180556,10.55034722,0.001111111,-0.013680556,0.201597222,blue
13,200,200,200,8000,161.712766,155.393617,159.9893617,0.367110197,0.460921957,0.398298587,0.171875,-0.196736111,10.56597222,6.94E-05,-0.015138889,0.263055556,blue
14,200,300,200,8000,166.8829787,252.4787234,167.7446809,0.23409742,0.66999526,0.234467238,0.01337931,-0.282551724,10.56917241,-0.005034483,-0.016137931,0.335655172,blue
15,300,100,200,8000,244.7234043,68.93617021,161.1382979,0.73212539,0.112404628,0.313116099,0.051310345,-0.227724138,10.57931034,0.000344828,-0.013586207,0.236137931,blue
16,300,200,200,8000,251.9042553,170.0425532,171.7659574,0.631903558,0.301528349,0.227563888,0.040965517,-0.244206897,10.58406897,-0.002758621,-0.014344828,0.316275862,blue
17,300,300,200,8000,261.0957447,260.8085106,175.212766,0.493713,0.539571053,0.152449727,-0.042137931,-0.25337931,10.56641379,-0.008413793,-0.015034483,0.391517241,blue
