,V1_in,V2_in,V3_in,t,V1,V2,V3,I1,I2,I3,ax,ay,az,gx,gy,gz
0,100,100,100,8000.0,59.67,45.666666666666664,51.92307692307692,0.24228887053140166,0.3695030352657001,0.34720642028985554,0.08178082191780822,-0.17383561643835618,10.54376712328767,0.00363013698630137,-0.01219178082191781,0.09513698630136985
1,100,200,100,8000.0,68.04,143.1,66.96,0.12143684263959395,0.6330981884057972,0.15661122107843145,0.030624999999999996,-0.16611111111111113,10.541944444444445,0.0018055555555555553,-0.010625,0.1604861111111111
2,100,300,100,5728.86,71.02173913043478,247.6451612903226,68.69117647058823,0.1329331475177305,0.7143351208053692,0.12587402803030298,0.0891346153846154,-0.14413461538461536,10.529326923076923,0.0017307692307692306,-0.013557692307692309,0.22749999999999998
3,200,100,100,7787.38,140.94,63.0,73.96875,0.6686093338383841,0.2367786114583339,0.08235289352941175,0.16687943262411348,-0.19319148936170213,10.531063829787232,0.00475177304964539,-0.015390070921985815,0.15921985815602838
4,200,200,100,5700.24,151.69736842105263,146.0958904109589,81.3970588235294,0.4562129084615385,0.531790813821138,0.07438431089108914,0.09333333333333334,-0.1720952380952381,10.555619047619047,0.0007619047619047618,-0.015809523809523808,0.22076190476190471
5,200,300,100,5022.2,158.84415584415584,251.2840909090909,87.40677966101696,0.3050466047619048,0.635545244274809,0.08362203423423424,0.09467391304347827,-0.17195652173913042,10.55141304347826,0.000978260869565217,-0.01423913043478261,0.2976086956521739
6,300,100,100,4285.96,245.6341463414634,66.49253731343283,89.83636363636364,0.7907432288135591,0.18302370086206904,0.12022244339622644,0.16947368421052633,-0.2,10.536842105263158,0.0027631578947368424,-0.016578947368421054,0.23960526315789474
7,300,200,100,4872.97,250.0875,154.92857142857142,91.38461538461539,0.6527531325581397,0.4302687642276423,0.14633055000000006,0.1391011235955056,-0.18595505617977526,10.552921348314607,0.001910112359550562,-0.013932584269662922,0.28584269662921347
8,300,300,100,3774.24,260.35714285714283,260.55,90.0,0.48902986597938164,0.5853791595744681,0.12878122359550562,0.15183098591549296,-0.18492957746478875,10.560985915492957,0.0018309859154929577,-0.014084507042253521,0.34901408450704224
9,100,100,200,8000.0,78.84,62.265306122448976,128.52,0.08853939613259663,0.19211228984771606,0.7500939224390248,0.18437499999999998,-0.16569444444444445,10.575902777777777,0.005486111111111112,-0.01673611111111111,0.17229166666666662
10,100,200,200,4604.72,85.9090909090909,153.1184210526316,149.95384615384614,0.07315920825688076,0.5084374452991455,0.5250931452991451,0.1044047619047619,-0.16083333333333333,10.563333333333333,0.002976190476190476,-0.013809523809523811,0.23773809523809528
11,100,300,200,5170.59,84.85714285714286,256.13513513513516,159.0810810810811,0.09314042564102562,0.6046194656488547,0.35404313076923083,0.16395833333333334,-0.15791666666666668,10.552604166666667,0.0022916666666666667,-0.014791666666666667,0.30145833333333333
12,200,100,200,4877.59,163.5,62.30769230769231,152.68965517241378,0.3303046314960632,0.2794869291666666,0.44851430158730166,0.10337078651685394,-0.1996629213483146,10.586629213483146,0.0021348314606741575,-0.014606741573033709,0.22876404494382022
13,200,200,200,4927.8,169.8,152.8875,156.91304347826087,0.23768800952380947,0.44644318548387113,0.3854422500000002,0.11337078651685394,-0.1849438202247191,10.567303370786517,0.0004494382022471912,-0.015730337078651686,0.3039325842696629
14,200,300,200,4319.38,169.40322580645162,250.36363636363637,170.82692307692307,0.17809349456521736,0.5510093521276599,0.2098660456521737,0.1473076923076923,-0.15871794871794873,10.538333333333334,0.004615384615384617,-0.014487179487179489,0.3702564102564102
15,300,100,200,4352.0,250.92,66.27272727272727,172.5,0.655677838095238,0.21209838446601958,0.15084547978723395,0.11759493670886075,-0.22620253164556964,10.560506329113926,0.0010126582278481015,-0.017341772151898735,0.29075949367088605
16,300,200,200,3913.75,258.2608695652174,162.88524590163934,176.21052631578948,0.517895322916667,0.3751078089887641,0.1525105510416666,0.1708333333333333,-0.2147222222222222,10.554722222222221,0.0015277777777777776,-0.01611111111111111,0.3645833333333333
17,300,300,200,3833.36,265.63235294117646,263.25,178.875,0.39769738877551014,0.48477567812500016,0.13232024444444448,0.1297222222222222,-0.16208333333333333,10.564166666666667,0.0006944444444444448,-0.01833333333333333,0.4161111111111111
18,100,100,300,6264.09,93.19354838709677,67.5,230.8170731707317,0.15220935390070925,0.15616083055555555,0.9794197565789474,0.15792792792792792,-0.19666666666666668,10.546936936936937,0.0030630630630630626,-0.014684684684684684,0.2335135135135135
19,100,200,300,4859.19,91.70689655172414,167.68421052631578,239.14285714285714,0.1543164926605505,0.3038345637168143,0.8175215833333334,0.11846153846153848,-0.15274725274725276,10.571538461538461,0.0023076923076923075,-0.016153846153846154,0.2991208791208791
20,100,300,300,3957.87,85.3953488372093,254.89830508474577,249.40677966101694,0.12097294102564106,0.49213286477272766,0.5548834505617974,0.06726027397260273,-0.1704109589041096,10.553013698630139,0.002054794520547945,-0.013972602739726028,0.366986301369863
21,200,100,300,3908.84,183.31578947368422,65.25,242.1290322580645,0.10005568043478266,0.2139263901960783,0.7968255523809524,0.08589041095890411,-0.20616438356164385,10.561369863013697,-0.001095890410958904,-0.01726027397260274,0.294931506849315
