,V1_in,V2_in,V3_in,t,V1,V2,V3,I1,I2,I3,ax,ay,az,gx,gy,gz
0,100,100,100,8000.0,60.33673469387755,63.642857142857146,62.07216494845361,0.24938338605769297,0.2739149235576929,0.2805717331730772,-0.020633802816901414,-0.22176056338028172,10.608098591549295,0.002727272727272727,-0.010985915492957746,0.10549295774647885
1,100,200,100,8000.0,66.6734693877551,152.6326530612245,67.77551020408163,0.17800772115384642,0.47250976442307707,0.1735698596153849,-0.09035460992907803,-0.2046099290780142,10.584609929078015,-0.0021985815602836877,-0.010141843971631207,0.18063829787234043
2,100,300,100,8000.0,67.22448979591837,259.53061224489795,65.29591836734694,0.1121793951923077,0.42147427644230756,0.12093184759615397,-0.034366197183098586,-0.2328169014084507,10.602887323943662,-0.00443661971830986,-0.011901408450704224,0.24838028169014092
3,200,100,100,8000.0,146.57142857142858,66.7741935483871,67.77551020408163,0.5030125431693988,0.1923075182352941,0.12805850285714285,-0.08964788732394366,-0.11204225352112676,10.581971830985916,-0.0021126760563380284,-0.01035211267605634,0.17316901408450702
4,200,200,100,8000.0,151.80612244897958,155.66326530612244,75.23595505617978,0.551035331730769,0.4468687403846152,0.08974352752808988,0.027971014492753625,-0.20130434782608697,10.57913043478261,-0.0010144927536231885,-0.014202898550724638,0.2323913043478261
5,200,300,100,8000.0,171.91836734693877,262.2857142857143,73.01020408163265,0.2681210514423082,0.4441566442307692,0.10217355583756353,-0.12323943661971831,-0.14753521126760566,10.592605633802817,-0.00859154929577465,-0.010845070422535212,0.32401408450704217
6,300,100,100,8000.0,250.4387755102041,63.91836734693877,66.94897959183673,0.47517195902439024,0.16230625228426399,0.15344545260416673,-0.10436974789915966,-0.1823529411764706,10.56638655462185,-0.0036134453781512606,-0.0037815126050420164,0.24579831932773108
7,300,200,100,8000.0,266.96938775510205,173.29591836734693,73.56122448979592,0.46018238461538474,0.24605502307692367,0.09855762083333343,-0.1266901408450704,-0.18760563380281692,10.593450704225354,-0.009014084507042254,-0.010140845070422535,0.32288732394366193
8,300,300,100,8000.0,272.4795918367347,274.68367346938777,68.3265306122449,0.34331834278846196,0.3037282541062808,0.1271966719101124,-0.09345070422535211,-0.16669014084507042,10.581197183098592,-0.01035211267605634,-0.009929577464788734,0.3938732394366197
9,100,100,200,8000.0,64.40625,67.22448979591837,150.9795918367347,0.12100985306122455,0.13627477766497467,0.5050542115384618,-0.010633802816901414,-0.17471830985915493,10.571478873239437,-0.002464788732394366,-0.00943661971830986,0.17957746478873235
10,100,200,200,8000.0,71.90816326530613,166.40816326530611,165.58163265306123,0.10948709800000009,0.3127462711538468,0.33694275242718486,-0.003028169014084511,-0.17542253521126763,10.57387323943662,-0.003802816901408451,-0.012464788732394367,0.25183098591549297
11,100,300,200,8000.0,72.18367346938776,264.48979591836735,167.23469387755102,0.08000555792349723,0.409270043269231,0.23688641116751313,-0.02704225352112676,-0.20781690140845072,10.562605633802818,-0.007323943661971831,-0.011267605633802818,0.32471830985915495
12,200,100,200,8000.0,163.6530612244898,69.9795918367347,158.69387755102042,0.3244573427884623,0.1222356931216931,0.3583518412621361,-0.03647887323943662,-0.19112676056338027,10.571408450704224,-0.004859154929577465,-0.011549295774647889,0.24929577464788732
13,200,200,200,8000.0,168.8877551020408,168.33673469387756,165.30612244897958,0.2682443735576929,0.2806950331730772,0.2772981248780493,-0.09739436619718311,-0.14218309859154932,10.562816901408452,-0.007183098591549296,-0.011690140845070423,0.3197183098591549
14,200,300,200,8000.0,167.78571428571428,265.0408163265306,169.16326530612244,0.17565408350515463,0.40569509182692287,0.1857715730392159,-0.0856338028169014,-0.13028169014084506,10.562535211267605,-0.01035211267605634,-0.013309859154929578,0.38697183098591553
15,300,100,200,8000.0,260.0816326530612,69.42857142857143,174.6734693877551,0.47670114471153835,0.11394401460674165,0.16502286358974375,0.10147887323943662,-0.1397887323943662,10.577464788732396,-0.0035211267605633804,-0.01323943661971831,0.31978873239436617
16,300,200,200,8000.0,259.8061224489796,174.39795918367346,176.3265306122449,0.46868829807692325,0.2042651043269234,0.16778675873786422,0.04443661971830986,-0.18450704225352113,10.574225352112673,-0.004366197183098592,-0.01267605633802817,0.38612676056338024
17,300,300,200,8000.0,264.48979591836735,268.6224489795918,174.16483516483515,0.3334924260869569,0.29237002378048815,0.12065322397260268,-0.3434751773049646,-0.1913475177304965,10.564680851063828,-0.024113475177304968,-0.013404255319148937,0.44602836879432617
18,100,100,300,8000.0,69.70408163265306,68.3265306122449,257.6020408163265,0.11463835925925926,0.11858965000000009,0.4881656586538462,-0.35260563380281695,-0.2052112676056338,10.556901408450704,-0.012112676056338027,-0.01267605633802817,0.2508450704225352
19,100,200,300,8000.0,77.6938775510204,168.8877551020408,259.2551020408163,0.09507340168539326,0.2315460217171722,0.45069027932692307,-0.3900704225352112,-0.18605633802816904,10.544929577464789,-0.017535211267605634,-0.013098591549295777,0.3179577464788732
20,100,300,300,8000.0,71.35714285714286,271.3775510204082,267.2448979591837,0.10403304010416677,0.3459070884615386,0.33801753269230794,-0.5277464788732394,-0.1815492957746479,10.539788732394364,-0.03098591549295775,-0.01415492957746479,0.38528169014084507
21,200,100,300,8000.0,170.5408163265306,68.87755102040816,258.7040816326531,0.19933413461538496,0.14279856702127675,0.4689348221153849,-0.6445774647887325,-0.1697887323943662,10.545915492957747,-0.025774647887323945,-0.012183098591549297,0.31401408450704227
22,200,200,300,8000.0,172.19387755102042,169.71428571428572,257.6020408163265,0.16539716237623767,0.17395660882352965,0.4400886201923078,-0.4011267605633803,-0.18316901408450703,10.564859154929577,-0.02528169014084507,-0.013943661971830987,0.38464788732394367
