,V1_in,V2_in,V3_in,t,V1,V2,V3,I1,I2,I3,ax,ay,az,gx,gy,gz
0,100,100,100,8000.0,48.06,47.48275862068966,48.17045454545455,0.3495142878640774,0.36918069514563084,0.3586006509708746,-0.005838926174496645,0.029731543624161073,9.83288590604027,-0.0026174496644295305,0.00013422818791946302,0.09590604026845637
1,100,200,100,8000.0,70.2,128.54347826086956,68.04,0.11390004842105278,0.7956187961165053,0.13106848527918788,-0.04093959731543625,-0.005369127516778527,9.835570469798656,-0.003355704697986577,-0.005436241610738256,0.16785234899328857
2,100,300,100,8000.0,78.03,237.33,74.1063829787234,0.10805852747252746,0.8813792038834957,0.07513412616279068,-0.08140939597315437,0.01315436241610738,9.817785234899329,-0.006912751677852349,-0.004093959731543625,0.24288590604026844
3,200,100,100,8000.0,135.54,67.77,69.66,0.7882750388349514,0.125217718932039,0.11009772164948452,-0.0023489932885906025,-0.004093959731543624,9.819463087248321,-0.003892617449664429,-0.0026845637583892616,0.16825503355704696
4,200,200,100,8000.0,144.18,146.61,81.54545454545455,0.5284553424390244,0.5039830893203879,0.06685539877300616,-0.05395973154362417,-0.06825503355704698,9.818993288590603,0.011140939597315437,-0.0026174496644295305,0.23825503355704697
5,200,300,100,8000.0,163.35,243.27,90.72,0.3177742446601943,0.7913866796116513,0.09920786910994775,-0.08554054054054056,-0.02918918918918919,9.792972972972974,0.015202702702702704,-6.756756756756745e-05,0.30844594594594593
6,300,100,100,7274.02,238.95,75.73170731707317,79.29473684210527,0.9020241473684222,0.07363573012820512,0.08628890419161675,-0.05037313432835821,-0.018432835820895516,9.81544776119403,0.010655737704918034,-0.0029104477611940297,0.23850746268656714
7,300,200,100,8000.0,246.78,168.48,89.1,0.7720937378640775,0.2891458548543698,0.08961270255102038,0.047516778523489935,0.0661744966442953,9.838993288590606,0.01483221476510067,-0.004161073825503356,0.30845637583892616
8,300,300,100,8000.0,257.85,257.58,93.42,0.5872543398058254,0.5484192427184464,0.09801684778325136,-0.0581756756756757,0.0368918918918919,9.851486486486484,0.017364864864864868,-0.0072297297297297305,0.37722972972972973
9,100,100,200,8000.0,67.23,69.39,135.27,0.12215637846153854,0.11101862648648668,0.7659946606796121,-0.03342281879194631,-0.007986577181208052,9.783825503355704,0.005369127516778523,0.0030201342281879194,0.1719463087248322
10,100,200,200,8000.0,80.19,148.5,150.39,0.07692303428571426,0.5492906262135919,0.49825737864077657,-0.025637583892617447,0.001275167785234897,9.79476510067114,0.009463087248322148,-0.000939597315436241,0.2421476510067114
11,100,300,200,8000.0,89.37,245.43,167.13,0.09519906170212769,0.7396352890547266,0.28346128700000045,-0.01973154362416108,-0.0474496644295302,9.769731543624161,0.014228187919463089,-0.0010067114093959733,0.31087248322147654
12,200,100,200,8000.0,147.15,83.53125,147.42,0.5525268446601941,0.09126977916666666,0.5761763883495146,-0.024932432432432435,0.02648648648648649,9.833986486486486,0.009932432432432432,-0.00837837837837838,0.23216216216216215
13,200,200,200,8000.0,160.11,152.05263157894737,157.41,0.31403886336633696,0.31410233858695696,0.30634961151832485,0.02918918918918919,0.005270270270270272,9.753986486486488,0.011351351351351352,0.0022297297297297304,0.28351351351351356
14,200,300,200,8000.0,170.91,248.94,171.18,0.19272108548387107,0.6198326239795916,0.20498713736263752,-0.010753424657534249,-0.022671232876712327,9.765068493150684,0.015684931506849315,0.00273972602739726,0.3808904109589041
15,300,100,200,8000.0,239.76,85.32,162.83505154639175,0.7592731820388351,0.09484259090909095,0.28761953484848507,-0.014932432432432426,0.021689189189189193,9.786824324324325,0.012567567567567568,-0.005337837837837838,0.29993243243243245
16,300,200,200,8000.0,248.94,170.1,172.26,0.6371011852040817,0.19455291468926555,0.17234116065573768,-0.050684931506849315,-0.009383561643835612,9.811986301369863,0.015479452054794519,0.0010273972602739727,0.3776027397260274
17,300,300,200,8000.0,261.36,260.01,181.71,0.5226536995145632,0.49676374271844687,0.0931532436170214,-0.03175675675675674,-0.03574324324324324,9.797837837837838,0.020675675675675676,-0.003783783783783784,0.4416216216216216
18,100,100,300,8000.0,72.78260869565217,77.77173913043478,241.11,0.0730614421686747,0.08201938074534158,0.8622105388349522,0.05897959183673469,0.05802721088435374,9.788095238095238,0.011224489795918367,0.003877551020408164,0.244421768707483
19,100,200,300,8000.0,88.29,165.51,245.16,0.10966238248587569,0.279246580208334,0.7349152343283589,0.05219178082191781,-0.008630136986301376,9.860479452054795,0.013904109589041098,-0.0067123287671232885,0.30746575342465754
20,100,300,300,8000.0,90.18556701030928,254.07,258.12,0.12087901923076931,0.5695971642857143,0.5194633108808288,-0.042751677852349,-0.002080536912751681,9.856510067114094,0.017718120805369126,-0.0072483221476510075,0.37348993288590604
21,200,100,300,8000.0,169.71428571428572,87.75,244.35,0.2538068837563458,0.0825879005813953,0.7634326834170857,0.02655405405405406,-0.027972972972972982,9.78668918918919,0.01533783783783784,-0.0030405405405405407,0.30763513513513513
22,200,200,300,8000.0,172.26,169.56,248.4,0.1779962738372094,0.1829442252808988,0.6168312579487176,0.022482758620689672,-0.010827586206896552,9.780896551724139,0.01786206896551724,-0.0003448275862068961,0.3777241379310345
23,200,300,300,8000.0,180.63,261.63,263.79,0.09080600607734805,0.5056011601941749,0.463156480582524,0.006241610738255029,-0.007852348993288589,9.798120805369129,0.020067114093959733,-0.0010738255033557052,0.4428859060402685
24,300,100,300,8000.0,259.74,90.18,257.58,0.5029873058252426,0.0852390281081081,0.5709486169902914,-0.14390410958904112,-0.03602739726027397,9.812945205479453,0.015684931506849315,-0.0026712328767123272,0.37828767123287677
25,300,200,300,8000.0,263.25,181.44,260.28,0.45589740549999985,0.1029913783333334,0.485312408737864,-0.07315436241610739,-0.034899328859060406,9.741744966442953,0.01778523489932886,0.005100671140939599,0.44020134228187924
26,300,300,300,8000.0,269.73,265.95,270.0,0.33716016915422914,0.35771106009852244,0.36544671796116546,-0.08229729729729729,-0.03405405405405405,9.754054054054055,0.024662162162162164,-0.0045945945945945945,0.5083783783783784
27,-100,100,100,8000.0,-29.16,40.8,41.666666666666664,0.7654430284090913,0.4780951657142851,0.491429409944751,-0.0738255033557047,-0.03604026845637585,9.78020134228188,0.005609756097560975,0.0014765100671140937,0.037248322147651
28,-100,200,100,8000.0,-32.46835443037975,118.26760563380282,58.29545454545455,0.6713677961111112,0.710955888770054,0.24795850000000044,-0.10628378378378378,0.0042567567567567575,9.850270270270272,0.0037162162162162164,-0.007432432432432431,0.10466216216216213
29,-100,300,100,8000.0,-37.8,240.3,65.07,0.6643749558659221,0.7710978839805831,0.1961925095959598,-0.06698630136986303,0.007465753424657533,9.823767123287672,0.007945205479452055,-0.0008219178082191779,0.17595890410958903
